Ano,Enunciado,Alternativa_A,Alternativa_B,Alternativa_C,Alternativa_D,Alternativa_E,Area_de_Conhecimento
2020,dispon wwwpmfscgovbr acess 11 dez 2017 ness text entrelaç vári gêneros text mecan discurs destac fidel cão realç vantag adot cão mostr depend decorr am cão enfa inter pesso adoç cão sensibil comunidad sobr car cãesred instruç instruç ara redação 1 rascunh redação dev feit espaç apropri 2 text defini dev escrit tint pret folh própr 30 linh redaçã apresent cóp text propost redaçã cadern questõ digit núm linh copi desconsiderad par contag linh 4receb not zer qualqu situ express segu redação 41 7 set linh escrit send consider text insufici 42 fug tem atend tip dissertativoargument 43 apresent part text deliberad desconect tem propost 44 apresent nom assinat rubr outr form identific espaç destin textopropost red ção text déc 1970 brasil apen país pobr mai part municípi habit elev concentr pobr car serviç essenc gener últ quarent ano ocorr sens melhor cond vid cidad brasil rend per capit aument concentr pobr diminu cobert serviç infraestrut física bem ofert médic nível escolar melhor sensi entretant desigualdad riqu municípi brasil permanec rigoros est desigualdad territor concentr pobr aument diminu desigualdad acess serviç básic energia elétr águ esgot colet lix nível escolar trajetór melhor contud marc express region últ quarent ano inici municípi ric qual univers serviç anteced expans cobert demal melhor cobert reg sul sud constitu prim cicl expans tod polít aind ritm difer cad política setor melhor cobert reg sul centroo constitu segund cicl expans tod polít fim reg nort nord últ áre expans ofert serviç arretch traz conceit cidadania volt propósit desigualdad territor arretch org trajetór desigualdad brasil mud últ cinquent ano paul unespc 2015 adaptadoentrev milton sant 2001 dispon folhauolcombr acess 18 jul 2020 propost redação part leit text motiv bas conhec constru long form redij text dissertativoargument modal escrit formal língu portugu sobr tem desafi reduz desigualdad reg brasil apresent propost intervenç respeit direitos human selecion organiz relacion form coer coes argument fat defês pont vistatext text iii ibg divulg dad sobr rend cad est 2019 pesquis mostr dispar grand difer unidad feder distrit feder paul rio jan aparec local mai rend domicili per capit além mostr dist cad est númer ibg revel dispar express reg brasil ano 2019 espec fic evid men rend pesso est reg nort nord tod est reg nort nord rend per capit men est reg sul sud centroo 2019 signif 16 est brasil men rend domicili per capit 16 est pertenc reg nort nord mesm form 11 unidad mai rend 2019 compõ sul sud centroo dispon httpswwwnexojornalcombr acess 30 set 2020 adapt text moment específ ocup territóri brasil acentu mod relev desigualdad soc sant global represent mudanç brut val process valor desvalor relativ lent agor process mudanç val permit at vid soc reorganiz cl méd parec incólum fer mort brasil diz global agrav diferenç region brasil pont integr sant unif integr vontad homogene fort unif benefíci pequen númer at integr possível ant nov tecnolog formid promess global promess realiz integr realizadaci human tecnolog quest 46 lei 3 353 13 mai 1888 princes imper regent nom majestad imper senh pedr faz sab tod súdit impéri assembleiager decret sancion lei seguint art declar extint desd dat dest lei escrav brasil art revogams dispos contr mand portant tod autoridad conhec execuç refer lei pertenc cumpr faç cumpr guard tão inte nel contém dad paláci rio jan 13 mai 1888 67º ano independ impéri princes imper regent dispon wwwplanaltogovbr acess 6 fev 2015 adapt fat lev promulg lei apresent,abandon propost imigr,fracass trabalh compulsóri,manifest altruísm britân,afirm benevol cort,persist campanh abol ciênc human tecnolog,Linguagens
2020,neg deu prev tod acontec futur entretant quer livr quer porqu objet presci divin vontad mesm vontad assim prev realiz hav poi ato vontad livr deu ato livr anteced sant agost livrearbítri paul paulu 1995 adapt discuss propost filósof agost hip 354430 indic liberdad human apresent,natur condicion,compet absolut,aplic subsidiár,utiliz facult,autonom irrestrit,Ciências Humanas
2020,david coro napol detalh óle sobr tel 621 979 louvr franç 1807 dispon httptheweddingtiaracom acess 8 abr 2015 gest represent quadr simboliz diferenç impéri napoleôn monarqu absolut,reduz autoridad cler,instaur cens imprens,control organiz judiciár,suspend pens nobr,desrespe propriedad priv,Ciências Humanas
2020,independ 1822 país enfrent problem frequ emerg dur form est nacion amér latin muit reg brasil diverg acompanh revolt inclusiv contr imper pedr abdic dest 1831 país atravess temp aind turbulent sob regim regenc reil rebel escr brasil história lev mal 1835 paul cia letr 2003 adapt instabil política país long períod mencion decorr,disput tend unitar feder,tens forç exércit mar nacion,dinâm demográf fronteir amazôn platin,extens direit vot estrang exescrav,reivindic exmetrópol esf comerc diplomá,Ciências Humanas
2020,fundament meteorolog tropic mostr richard grov estabelec dur grand niñ 179091 além lev sec fom madr bengal desmantel agricult vár colôn caribenh inglaterr prim vez med meteorológ simultâne milh milh dist suger cond temp extr talv associ tod tróp ide complet desenvolv dur sec glob 187678 davil holocaust colon clim fom imperi form terc mund rio jan paul record 2002,fenômen climá cit ocorr periodic caus aument daa atu mass equator continent,veloc vent hemisf sul,ativ vulcân círcul fog,temperat águ pacíf,liquef gel ártic,Ciências Humanas
2020,sofist invent educ ambi artific torn caracterís civil profiss ensin ant tud pedagog aind necess reconhec not original protág górg antifont exempl salári ensin alun receit permit persuad ouvint defend mesm habil pró contr conform entend cad hadot filosofia antig paul loyol 2010 adapt text apresent caracterís sofist mestr oratór defend,ide bem demonstr ment bas teor reminisc,relat evidenci convencional institu polít,étic aprimor educ cad indivídu bas virtud,ciênc comprov empiric mei conceit univers,relig revel mand lei divin,Ciências Humanas
2020,brasíl prim cidad modern inscrit list patrimôni mund plan cidad ideal lúci cost seg princípi básic cart aten 1933 cidad estrutur áre cad função específ áre monument ond concentr prédi administr áre resid áre agrár áre laz separ vast espaç natur comunic traç grand via silv cidad brasil patrimôni cult human paul peirópolil 2003 cidad apresent reconhec patrimôni cult human porque mescl popul sotaqu ilustr divers étnic brasil,preserv princípi arquitetôn urbanís origin modern,sintetiz val cívic polít defin patriot polít nacion,promov serviç turís produt artesan represent trad local,proteg acerv document imagé revel trajetór instituc,aí,Ciências Humanas
2020,protestant ascé apen cl noç primaz étic sobr mund mitig efeit dupl moral juda moral intern irm crenç outr extern infiel desafi aqu étic qu deix ideal event ocas exig virt religi quas sempr fug mund prát monás cristã mediev tornars efetiv lei prát cotidi dentr mund souz étic protest ideolog atras brasil revist brasil ciênc soc 38 out 1998 retom pens max web text apresent tens posit étic religi esf mund açã ness perspec étic protest compreend,vincul abandon felic terren,contrár princípi econôm liberal,promov dimens política vid cotidi,estimul igualdad soc direit divin,adequ desenvolv capit modern,Ciências Humanas
2020,constantinopl cidad vast esplênd tod riqu ativ popul merc artes cortes mant civil grand dam ric vest adorn séquit eunuc escrav despert cruz grand desdém mescl desconfort sent inferior runciman prim cruz fund rein jerusalém rio jan imag 2003 adapt reaç europ defront cidad ocorr função,iferenç orient ocid quant aosàs mod organiz particip política,nível disciplin poderi bélic exércit,represent prát devoç politeíst,dinâm econôm cult vid urban,form individu desenvolv pessoal,Ciências Humanas
2020,pesso rio jan faz transport cade bem dour sustent negr cade segu doi negr domést traj libré pé nu mulh transport frequ quatr cinc negr indument assei vão enfeit muit col brinc our outr lev red quer and acompanh negr lev sombr guardachuv que cham lar fragment setecent paul cia letr 2007 adapt prát relat capel navi ancor cidad rio jan dezembr 1748 simboliz seguint aspect sociedad colonial devoç cri propriet express harmon elo patriarc utiliz escrav bemvest ativ degrad marc hierarqu soc mobil séquit passei evid med viol,entr urban,inserç cativ prest serviç pessoal fas trans,trabalh livr,concess vest opulent agreg form ampar conced,elit senhor,Ciências Humanas
2020,déc seg fim guerra constitu pratic continu dest acomod difícil result rupt sistem internac revolução sovié ascens est unid recu europ iníci contest anticolon marc déc muit pessim algum ilusã brusc encerr quebr bols nov iorqu cris 1929 iníci prepar nov guerra mund vizentin prim guerra mund port alegr ufrg 2006 adapt event mencion text contribu fort ascens regim,ropens nov conflit arm pois perturb dinâm equilíbri demográf,dificult ades ideolog vié social,favorec ascens grup anarqu pod,corro crenç legitim democrac liberal,deterior confianç salvacion exércit nacion,Ciências Humanas
2020,princípi prát subje máx cond consider sujeit verd vontad outr lad obje cond vál vontad tod natur kant crít ra prát lisbo ediç 70 2008 concepç étic pres text defend,universal dev,maxim util,aprov sent,identific just med,obedi determin divin,Ciências Humanas
2020,associ ativ import vari evolução sociedad americ modern afric consegu imp marc língu cult econom além particip quas invaria compos étnic comunidad nov mund influ alcanç fort reg latifúndi agrícol comunidad cuj desenvolv ocorr marg atlân mar antilh sud est unid porç nord brasil long cost pacíf colômb equ peru knight diásp afric ajay org história geral áfric áfric sécul xix déc 1880 brasíl unesc 2010 adapt,contribu diásp descrit text contin americ oaa fim escrav indígen,declíni monocult local,introduç técn produ,form sociedad estament,desvalor capitan hereditár,Ciências Humanas
2020,entend cris ucrân presid rúss vladim putin doi líd crime assin març 2014 acord torn repúbl autônom part rúss trat assin doi dia após pov crime aprov refer separ ucrân reunific rúss vot conden kiev comunidad internac consid ilegít dispon httpg1globocom acess 28 out 2014 adapt justific acord descrit fundamentavas ide,espaç vital,limit fronteiriç,estrut bipol,identific cult,autonom econôm,Ciências Humanas
2020,text equaç desenvolv econom robert klitgaard descrev corrupç traduzindo palavr corrupç dad grau monopóli exist serviç públic pod discricion autoridad têm tom decis menos responsabil basic exist mecan control outr vers fórmul acrescent dimens moral funcion barre contr cultura corrupç schwartsman fórmul corrupç dispon wwwfolhauolcombr acess 26 abr 2015 adapt text corrupç signif trans troc corromp deix corromp tratas norm promess recompens troc comport favoreç inter corrup corrupç lig apen grau institucion amplitud set públic ritm mudanç soc relacion cultura elit mass depend percepç tend vari temp espaç bobbi matteucc pasquin dicion política brasíl unb 2009 adapt segund text complement compreens fenômen corrupç tal abord,prim text med que comprov limit sistem norm pátri,evidenc atu agent extern est,eluc padr idone set empresar,minimiz capac mobil sociedad civil,demonstr influ at vincul judici,Ciências Humanas
2020,process modern agricult brasil result profund modific relaç soc mund trabalh produç modern consequ model soc pervers perman concentr terr êxod rural aument process assalar hom rural concentr capit ger process industri agricult direcion atend demand capit nacion internac menez net educ sindic nov tecnolog process soc agr dispon wwwsenacbr acess 10 fev 2014 ness context process apresent revel contrad espaç agr brasil,ecorr expans daa produç famili,reform fundiár,lavo comerc,past extens,seguranç aliment,Ciências Humanas
2020,jov nasc cresc sob ditad perd muit contat real história process viv conhec carn opress repress instituc vez inconsci defini dentr famíl escol etc odi riqu ímp potenc radic jov pobr pequen burgues ric sofr prolongad experi dess constitu agent polít vali embal rejeit combat opress sistemá repress dissimul convert polít inconform promis fernand dilem polít jov florestan fernand constituint leit reform política paul express popul 2014 context mencion florestan fernand tematiz efeit inesper exercíci,od polít decorr daa evolução histór conflit ger,fragil moral institu públic,impossibil realiz control total,legitim ideológ nacion estatal,restr ofert oportun educ,Ciências Humanas
2020,vives revolução verd tratas dissemin nov prát permit vast aument produç model baseias intens utiliz sement melhor particul híbr assim uso sistemá insum industr fertiliz agrotóx recurs irrig mecan trabalh del prior venânci história vid rural brasil rio jan ediour 2006 adapt brasil desvant pequen produt provoc expans model agrícol descrit,estagn ativ agroindustr,diminu lavo monocul,restr control prag,elev cust cult,reduç empreg formal,Ciências Humanas
2020,fim últ caus final desígni hom introduz restr sobr mesm sob vem viv est cuid própr conserv vid satisfeit qu diz desej sair mís cond guerra consequ necessár paix natur hom orgulh vinganç cois semelh necess pod vis capaz mantêl respeit forç med castig cumpr pact respeit lei contrár paix natur hobb leviatã paul nov cult 1999 adapt,ara autor surg est civil estabelec cond humano internal princípi moral objetiv satisf vontad individ,ader organiz política almej estabelec despot,aprofund religios contribu fortalec igrej,assegur exercíci pod resgat autonom,obt situ paz garant legal bemest,Ciências Humanas
